Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdY,CrdR
302,Jesse Lingard,eng ENG,"FW,MF",Nott'ham Forest,29,1992,17,12,923,10.3,0,0,0,0,0,0,1,0
303,Valentino Livramento,eng ENG,"DF,FW",Southampton,19,2002,2,0,28,0.3,0,0,0,0,0,0,0,0
304,Diego Llorente,es ESP,DF,Leeds United,28,1993,8,7,649,7.2,0,0,0,0,0,0,1,0
305,Hugo Lloris,fr FRA,GK,Tottenham,35,1986,25,25,"2,205",24.5,0,0,0,0,0,0,0,0
306,Renan Lodi,br BRA,DF,Nott'ham Forest,24,1998,28,26,"2,214",24.6,0,1,1,0,0,0,7,0
307,Ruben Loftus-Cheek,eng ENG,"MF,DF",Chelsea,26,1996,25,19,"1,536",17.1,0,1,1,0,0,0,1,0
308,Sean Longstaff,eng ENG,MF,Newcastle Utd,24,1997,33,28,"2,518",28.0,1,4,5,1,0,0,2,0
309,Jamal Lowe,jm JAM,"MF,FW",Bournemouth,28,1994,2,0,12,0.1,0,0,0,0,0,0,0,0
310,Douglas Luiz,br BRA,MF,Aston Villa,24,1998,37,33,"2,927",32.5,6,6,12,6,0,0,6,1
311,Saša Lukić,rs SRB,MF,Fulham,25,1996,12,4,412,4.6,0,0,0,0,0,0,1,0
312,Lyanco,br BRA,DF,Southampton,25,1997,21,11,"1,180",13.1,1,1,2,1,0,0,4,0
313,Alexis Mac Allister,ar ARG,MF,Brighton,23,1998,35,31,"2,886",32.1,10,2,12,4,6,6,8,0
314,James Maddison,eng ENG,"MF,FW",Leicester City,25,1996,30,28,"2,480",27.6,10,9,19,9,1,2,10,0
315,Noni Madueke,eng ENG,FW,Chelsea,20,2002,12,7,643,7.1,1,0,1,1,0,0,0,0
316,Harry Maguire,eng ENG,DF,Manchester Utd,29,1993,16,8,767,8.5,0,0,0,0,0,0,4,0
317,Riyad Mahrez,dz ALG,"FW,MF",Manchester City,31,1991,30,22,"1,920",21.3,5,10,15,4,1,1,2,0
318,Kobbie Mainoo,eng ENG,MF,Manchester Utd,17,2005,1,0,11,0.1,0,0,0,0,0,0,0,0
319,Ainsley Maitland-Niles,eng ENG,"DF,MF",Southampton,24,1997,22,13,"1,407",15.6,0,0,0,0,0,0,3,0
